Time; Temperature; Luminosity 
38.406; 25.0; 393.3333
38.585; 25.0; 386.6667
38.764; 25.0; 393.3333
38.943; 25.0; 393.3333
39.127; 25.0; 386.6667
39.306; 25.0; 386.6667
39.485; 25.0; 393.3333
39.669; 25.0; 386.6667
39.85; 25.0; 386.6667
40.029; 25.0; 393.3333
40.208; 25.0; 386.6667
40.387; 25.0; 386.6667
40.566; 25.0; 393.3333
40.745; 25.0; 386.6667
40.924; 25.0; 393.3333
41.103; 25.0; 393.3333
41.282; 25.0; 386.6667
41.461; 25.0; 393.3333
41.64; 25.0; 393.3333
41.819; 25.0; 386.6667
41.998; 25.0; 393.3333
42.177; 25.0; 386.6667
42.356; 25.0; 386.6667
42.535; 25.0; 393.3333
42.714; 25.0; 393.3333
42.893; 25.0; 386.6667
43.074; 25.0; 393.3333
43.253; 25.0; 393.3333
43.432; 25.0; 386.6667
43.616; 25.0; 393.3333
43.795; 25.0; 393.3333
43.974; 25.0; 386.6667
44.153; 25.0; 393.3333
44.332; 25.0; 393.3333
44.511; 25.0; 386.6667
44.695; 25.0; 393.3333
44.874; 25.0; 393.3333
45.053; 25.0; 386.6667
45.232; 25.0; 393.3333
45.411; 25.0; 393.3333
45.59; 25.0; 386.6667
45.769; 25.0; 393.3333
45.948; 25.0; 386.6667
46.127; 25.0; 386.6667
46.306; 25.25; 393.3333
46.485; 25.25; 386.6667
46.664; 25.0; 393.3333
46.843; 25.25; 393.3333
47.022; 25.25; 393.3333
47.201; 25.25; 393.3333
47.38; 25.25; 393.3333
47.564; 25.25; 393.3333
47.743; 25.25; 393.3333
47.922; 25.25; 393.3333
48.101; 25.25; 393.3333
48.28; 25.25; 393.3333
48.459; 25.25; 393.3333
48.638; 25.25; 386.6667
48.817; 25.25; 386.6667
48.996; 25.25; 393.3333
49.175; 25.25; 386.6667
49.354; 25.25; 393.3333
49.533; 25.25; 393.3333
49.712; 25.25; 386.6667
49.891; 25.25; 393.3333
50.07; 25.25; 386.6667
50.252; 25.25; 386.6667
50.431; 25.25; 393.3333
50.61; 25.25; 386.6667
50.789; 25.25; 386.6667
50.968; 25.25; 393.3333
51.147; 25.25; 393.3333
51.326; 25.25; 393.3333
51.51; 25.25; 393.3333
51.689; 25.25; 393.3333
51.868; 25.25; 386.6667
52.047; 25.25; 393.3333
52.226; 25.25; 393.3333
52.405; 25.25; 386.6667
52.584; 25.25; 393.3333
52.763; 25.25; 393.3333
52.942; 25.25; 386.6667
53.121; 25.25; 393.3333
53.3; 25.25; 393.3333
53.479; 25.25; 386.6667
53.658; 25.25; 393.3333
53.837; 25.25; 386.6667
54.016; 25.5; 386.6667
54.195; 25.5; 393.3333
